---
source_platform: "youtube"
source_url: "https://www.youtube.com/watch?v=dnAMN9Kn8zI"
source_episode_id: "658cf0bd-13e6-4071-91ff-91eec75f879b"
show_name: "jack_mallers_show"
episode_title: "Uncle, Not TACO: Bitcoin in a World on Fire"
published_at_utc: "2026-03-17T07:04:50+00:00"
retrieved_at_utc: "2026-03-22T15:36:32.303958+00:00"
pipeline_version: "0.2.1.1"
transcription_method: "youtube_auto_captions"
speaker_mode: "unknown"
speakers_detected: "unknown"
quality_word_count: "14629"
quality_repetition_ratio_5gram: "0.018667"
quality_lexical_diversity: "0.202611"
---

